,name,score,document_length
0,Vietnam Manufacturing and Export Limited,0.17383920264718536,2779
1,Sanyang Motor Co Ltd,0.1057649623739248,5861
2,Tandem Group plc,0.09331445399965158,4176
3,Merida Industry Co Ltd,0.08856426693988877,9184
4,HL Corp. (Shenzhen),0.05762230995737443,3679
5,SHIMANO INC.,0.04948320090255115,6760
6,Ideal Bike Corporation,0.04838718727404122,3542
7,Atlas Cycles (Haryana) Ltd,0.047897180276913524,1923
8,Zhonglu Co Ltd,0.04022376719285915,3529
9,National Metallic and Bicycles Indus,0.03929377037493672,5364
10,"Samchuly Bicycle Co., Ltd.",0.03786574930944177,4036
11,Bicicletas Monark SA,0.03754296674595981,2181
12,"Lee Chi Enterprises Co., Ltd.",0.036905064959991074,3397
13,Alton Sports Co Ltd,0.03540038669866039,3830
14,Ste Euro Cycles SA,0.03537863290875283,33413
15,Joy Industrial Co Ltd,0.033589918322889226,3769
16,China Jialing Industrial Co Ltd (Group),0.0335399718638428,5720
17,Giant Manufacturing Co Ltd,0.030520079002250008,7014
18,"Jinshan Development & Cons. Co., Ltd.",0.03027852300593859,2924
19,ZAP,0.02997646567455863,5417
20,"Chongqing Jianshe Motorcycle Co., Ltd",0.028540949009728835,4738
21,Amanasu Techno Holdings Corp,0.02758366494113573,7218
22,Accell Group N.V.,0.024246212798457362,2813
23,Pihsiang Machinery MFG Co Ltd,0.023817735475181793,3626
24,KR Motors Co Ltd,0.014472133971972567,2883
25,Sun Race Sturmey-Archer Inc.,0.013447391373337635,5508
26,Hero Motocorp Ltd,0.012041771631112303,9307
27,"Yamaha Motor Co., Ltd.",0.011502817231753917,5131
28,China Bicycle Co Holdings Ltd,0.009769262677678674,1916
