,name,score,document_length,url_count,connector,electrical,pcb
0,Promate Electronic Co Ltd,0.7573634211292406,2511,4,13,5,3
1,SUN-WA TECHNOS CORPORATION,0.6317255234180875,2471,8,15,11,2
2,"Howteh Technology Co., Ltd.",0.41627053971474415,2517,5,4,0,3
3,Laird PLC,0.3878394858848438,10516,5,41,10,6
4,Yleiselektroniikka Oyj,0.3212275966874262,3688,5,8,4,1
5,"HAGIWARA ELECTRIC CO., LTD.",0.25883655281808743,2523,4,5,0,0
6,SUZUDEN CORPORATION,0.2439454145816307,1935,6,4,9,0
7,TE Connectivity Ltd,0.2234929170459732,6675,9,200,10,2
8,Alltek Technology Corp.,0.21697663715010448,2756,3,0,0,3
9,PALTEK CORPORATION,0.2156104224101246,2925,1,4,0,0
10,ASEC International Corporation,0.20207174721840454,3193,1,0,1,3
11,Stokes Ltd,0.19824532262675296,4602,3,6,6,0
12,Podak Co Ltd,0.18077627613205072,2040,4,3,8,0
13,MARUBUN CORPORATION,0.17831952332305234,2556,2,3,0,0
14,"Trust-Search Corp.,Ltd.",0.17604265634150484,4301,3,0,0,5
15,Edom Technology Co Ltd,0.16383200822477853,2787,1,1,9,3
16,MetaTech (AP) Inc.,0.15586259781402634,3717,5,4,11,0
17,Wuhan P&S Information Technology Co Ltd,0.14417073356578555,4226,2,11,0,0
18,"Ryosan Company, Limited",0.139621417013116,2352,1,1,0,1
19,EACO Corp,0.1306428739673632,3664,2,3,0,0
20,NICHING INDUSTRIAL CORPORATION,0.12117711863154357,822,1,0,0,1
21,"KYOEI SANGYO CO., LTD.",0.11912816134718934,2497,3,0,3,1
22,Tokyo Electron Device Ltd,0.10878443410910763,4752,4,2,1,1
23,S.A.S. Dragon Holdings Limited,0.10309635647445656,4088,3,3,9,0
24,"Avnet, Inc.",0.0939572357506354,8793,2,6,10,0
25,KANADEN CORPORATION,0.08864589282752018,2531,1,1,6,0
26,Excel Co Ltd,0.08730121330640858,3548,1,2,0,0
27,Premier Farnell plc,0.08448843395403555,4720,6,3,14,1
28,"SANSHIN ELECTRONICS CO., LTD.",0.07843943077183876,2085,1,1,0,0
29,Daetwyler Holding AG,0.07681536164552516,2667,1,1,1,0
30,"MAXTEK TECHNOLOGY CO., LTD.",0.07637253909341349,2063,1,0,5,0
31,WPG Holdings Limited,0.07314860408787317,1784,1,1,0,0
32,Solomon Technology Corporation,0.07037861895793318,3667,4,0,5,1
33,Elematec Corporation,0.06558556994401457,2237,2,1,6,0
34,Chander Electronics Corp.,0.05923619988141332,2875,1,1,0,0
35,"Techno Alpha Co., Ltd.",0.05027649553228792,3311,1,1,0,0
36,Serial System Ltd,0.04720015636584606,4333,5,3,34,0
37,Sentronic International Corp,0.04335372492965643,4174,1,0,0,1
38,Malmbergs Elektriska AB,0.042849600474410596,2953,4,0,12,0
39,"ZHONGYEDA ELECTRIC CO.,LTD.",0.03771023731073929,2958,7,1,18,0
40,Naigai Tec Corporation,0.035865105588459505,2897,2,0,4,0
41,"ScanSource, Inc.",0.03368603363586664,4066,1,0,0,1
42,Sakae Electronics Corporation,0.033645430990295516,3298,4,0,18,0
43,"V-Tac Technology Co., Ltd.",0.03335563418651056,3730,1,0,4,0
44,Hailiang International Holdings Ltd,0.03286859589106545,1870,2,0,3,0
45,"SENSHU ELECTRIC CO., LTD.",0.03273989838593291,3035,6,1,16,0
46,Tech Data Corp,0.031022707715985566,4574,1,1,0,0
47,Houston Wire & Cable Company,0.029342079509015236,2958,6,0,12,0
48,Solar A/S,0.028352063762238592,2147,2,0,3,0
49,Dragon Group International Limited,0.02716506885592032,2990,2,0,3,0
50,MANSEI CORPORATION,0.0263577377875573,5711,4,0,6,0
51,"TANAKA CO., LTD.",0.0252854522203986,3488,3,1,15,0
52,Honey Hope Honesty Enterprise Co Ltd,0.02479542732817087,5216,3,0,6,0
53,TAIWAN OSTOR CORP.,0.02455762932564064,2428,1,0,2,0
54,NIPPO LTD.,0.024167177127802413,939,1,0,1,0
55,OEM International AB,0.023371621289033827,4462,5,0,9,0
56,Tokai Electronics Co Ltd,0.020744484543497338,2846,2,0,3,0
57,Vietnam Electric Cable Corp,0.018806099215032446,3667,8,1,43,0
58,Pierides Holdings Plc,0.01832018515373268,4178,7,0,54,0
59,"VITEC CO., LTD.",0.01751126878485717,2232,1,0,2,0
60,"Fuhrmeister Electronics Co.,Ltd.",0.017211507451727684,3178,1,0,2,0
61,JC Hyun Systems Inc,0.016851448255587428,4792,2,0,5,0
62,Ace Pillar Co Ltd,0.016488952076776614,3028,1,0,2,0
63,"Surge Components, Inc.",0.015997030542702583,2914,2,0,2,0
64,Siltrontech Electronics Corporation,0.015505650337490243,4496,1,0,2,0
65,Zheda Lande Scitech Limited,0.014656718947152843,3420,1,0,2,0
66,Anixter International Inc.,0.013423285413247709,6883,6,2,19,0
67,LG International Corp,0.013360761470909267,3272,1,0,2,0
68,Professional Computer Technology Ltd,0.01143111297816016,2188,1,0,1,0
69,Korea Information Engineering Services,0.010901239349790466,2356,1,0,1,0
70,FAST TECHNOLOGIES INC.,0.010369969736827247,5985,1,0,2,0
71,Xander International Corp.,0.00940499303612337,3417,1,0,1,0
72,Pobis TNC Co Ltd,0.008641053515143233,3027,1,0,1,0
73,BOS Better OnLine Sol (USA),0.007758137914908019,3138,1,0,1,0
74,Samart I-Mobile PCL,0.0073221192226199765,2990,1,0,1,0
75,Innovative Technology Development Corp,0.006127263992536542,5159,1,0,1,0
76,KUEN CHAANG UPPERTECH CORP.,0.0056316089857800615,5072,1,0,1,0
