,name,score,document_length,url_count,automotive,circuit protection,connectors,diodes,electronic material,encoders,magnetic product,passive,position sensor,potentiometers,resistive product,resistor,semiconductor component,surge protective device,switches
0,"TDG Holding  Co., Ltd.",0.4256132435130874,2964,5,2,0,0,0,13,0,1,0,0,0,0,0,0,0,0
1,Nepes Corp,0.3967797855645955,2707,9,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0
2,"Asia Electronic Material Co., Ltd.",0.3298794524337264,1806,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
3,Daejoo Electronic Materials Co Ltd,0.32918862614038685,2916,9,0,0,0,0,38,0,0,0,0,0,0,3,0,0,0
4,AVX Corporation,0.31422416024097544,4916,9,28,9,11,14,0,0,0,13,0,0,12,41,0,0,4
5,"Arisawa Mfg. Co., Ltd.",0.3035781914538932,3469,6,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0
6,"L&F Co., Ltd.",0.2857242700156029,3088,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
7,"TOPCO Scientific Co., Ltd.",0.2834233794090454,3011,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
8,D & O Green Technologies Bhd,0.22341231221992425,3902,8,11,0,0,0,0,0,0,0,0,0,0,0,12,0,0
9,Lite-On Semiconductor Group,0.2121707619259611,2373,4,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0
10,Semtech Corporation,0.1996055846142317,2130,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Tokyo Cosmos Electric Co., Ltd.",0.19180383589704975,2406,10,20,0,0,2,0,18,0,1,2,0,0,18,0,0,1
12,CTS Corporation,0.1815480187876192,3320,8,7,3,1,0,0,10,0,1,5,0,0,31,0,0,1
13,Thinking Electronic Industrial Co Ltd,0.17602990536973856,1616,2,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
14,Team Young Advanced Technology Co Ltd,0.17545619798915615,3152,4,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0
15,ABCO Electronics Co Ltd,0.16487681602898055,1582,6,0,0,0,0,0,0,0,5,0,0,0,18,0,0,0
16,"Taiwan Alpha Electronic Co., Ltd.",0.16376865305922192,3647,5,2,2,0,0,0,4,0,1,0,0,0,5,0,0,0
17,Tyntek Corporation,0.12700054116721607,2618,4,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0
18,Guangdong Fenghua Adv. Tech. (Hldg) Co,0.11180407535089922,4021,8,1,0,0,3,6,0,0,2,0,0,0,28,0,0,0
19,Cowell Fashion Co Ltd,0.1092293963744983,1939,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
20,Walsin Technology Corporation,0.10628596448326026,3098,11,5,3,2,0,0,0,0,21,0,0,0,25,0,0,2
21,China Zhenhua (Group) Science & Tech.,0.10593849315934153,4261,4,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0
22,GTM Holdings Corp,0.09267169884357737,2282,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
23,"Prosperity Dielectrics Co., Ltd.",0.08937296531249475,3254,8,0,0,0,1,0,0,0,4,0,0,0,24,0,0,0
24,Apogee Optocom Co Ltd,0.08390957966706764,1247,9,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
25,"Daito Electron Co., Ltd.",0.08278541688908243,2674,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
26,"RDC Semiconductor Co.,Ltd",0.08017688284618346,2709,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
27,GCS Holdings Inc,0.07402148114546278,4221,6,4,0,0,2,0,0,0,5,0,0,0,0,0,0,0
28,"Solitron Devices, Inc.",0.07349788693584754,4388,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
29,"AOI ELECTRONICS CO.,LTD.",0.06277465076286512,2514,5,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0
30,OPTO Tech Corporation,0.058380585043652414,4053,5,6,0,0,0,0,0,0,0,0,0,0,1,3,0,0
31,KEMET Corporation,0.053166456965590525,5661,11,31,9,1,0,0,0,0,7,0,0,0,6,0,0,1
32,AverLogic Technologies Corporation,0.04960382754922132,2817,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
33,Forward Electronics Co Ltd,0.048319762511367964,3635,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0
34,Japan Resistor Mfg Co Ltd,0.046297529844842526,2171,12,2,0,0,0,0,0,0,0,1,10,0,117,0,0,0
35,Globetronics Technology Berhad,0.04618565046192513,3318,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
36,Advanced Microelectronic Products Inc.,0.04185990682422629,2248,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
37,Wizit Co Ltd,0.04064132954786294,3607,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
38,"WUS Printed Circuit Co., Ltd.",0.039892505986959335,2996,6,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0
39,Europtronic Group Ltd.,0.03916795778576964,1900,3,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0
40,"FOCI Fiber Optic Communications, Inc.",0.03528191227114648,2514,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
41,"Samsung Electro-Mechanics Co., Ltd.",0.035065619604893176,6978,6,10,1,1,0,0,0,0,16,0,0,0,25,0,0,1
42,Alliance Fiber Optic Products Inc,0.03277627548193787,7562,6,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0
43,Pixelplus Co Ltd,0.03206613061648672,3966,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Shenzhen Microgate Technology Co Ltd,0.030408300235910627,2244,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
45,Abico FS Co Ltd,0.03015875198308924,4056,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
46,"Rubicon Technology, Inc.",0.02988459341943759,7234,3,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
47,Ralec Electronic Corporation,0.02707389114505125,3912,6,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
48,"Holy Stone Enterprise Co., Ltd.",0.02341958068919084,6059,9,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0
49,"G-Shank Enterprise Co.,Ltd.",0.02293842146895646,3592,6,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Yageo Corporation,0.02175076721673462,3998,12,40,2,1,0,0,0,0,15,0,0,0,98,0,0,1
51,Wooriro Co Ltd,0.02104235128360214,7919,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
52,Orient Semiconductor Electronics Ltd,0.020103002762670883,4287,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,Ample Electronic Technology Co Ltd,0.014863193949258575,5458,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
54,"ThinTech Materials Technology Co., Ltd.",0.013732302448381709,4428,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
55,ROHM COMPANY LIMITED,0.013129269650770789,12268,13,31,0,0,0,0,0,0,22,0,0,0,32,0,0,0
56,Crystal Applied Technology Inc.,0.012596197502526899,3291,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,"Ty-ohm Electronic Works Co., Ltd.",0.012440941993580227,3639,11,0,0,0,0,0,0,0,5,0,0,0,161,0,0,0
58,Wisechip Semiconductor Inc,0.011892841405467112,4350,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
59,Hokuriku Electric Industry Co Ltd,0.008672314826291803,4418,9,5,0,1,0,0,0,0,0,0,0,0,173,0,0,1
60,KOA CORPORATION,0.007296937924389617,6936,7,23,8,0,0,0,0,0,9,0,0,0,326,0,0,0
61,Golden Spring Internet of Things Inc,0.0033932321563060136,3329,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"SHIBAURA ELECTRONICS CO., LTD.",0.0022595735505361635,2085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"Ta-I Technology Co., Ltd",0.0021870563955886492,6100,8,9,4,0,0,0,0,1,2,0,0,0,509,0,0,0
64,Viking Tech Corporation,0.0007454408986390477,13268,13,63,0,0,0,0,0,0,21,0,0,0,960,0,0,0
