name,score,document_length,url_count,cable,connector,docking station,ethernet,firewire,hdmi,industrial,medical,power cord,sas,sata,thermocouple,usb
Yleiselektroniikka Oyj,0.8948226857644681,3693,9,11,8,0,0,4,5,7,2,0,4,0,0,6
TelForceOne SA,0.3352436019471646,3877,11,14,4,6,0,0,5,2,0,0,0,0,0,0
Houston Wire & Cable Company,0.23072155152482973,3566,10,163,0,0,3,0,0,29,0,0,9,0,3,0
WPG Holdings Limited,0.1457028628319376,1790,9,0,1,0,0,0,0,5,0,0,2,4,0,0
"WESCO International, Inc.",0.060431999077252684,9787,12,52,8,0,0,0,0,31,12,0,2,0,0,1
SUZUDEN CORPORATION,0.04437281291788038,1941,8,5,4,0,0,0,0,9,0,0,1,0,0,1
Graybar Electric Co Inc,0.038464236529456755,6840,13,35,2,0,1,0,0,35,1,1,0,0,0,0
Pierides Holdings Plc,0.037503701777998326,4234,10,18,0,0,0,0,0,13,3,0,1,0,0,1
Vietnam Electric Cable Corp,0.03681081731878216,3519,9,132,0,0,0,0,0,6,0,0,1,0,0,0
AIKO CORPORATION,0.031944152610963054,1679,7,7,0,0,0,0,0,6,4,0,0,0,0,0
MetaTech (AP) Inc.,0.02864354304618874,3722,8,0,4,0,0,0,0,8,4,0,1,0,0,0
Shanghai Fortune Techgroup Share Co Ltd,0.016431682004952885,4251,10,0,3,0,0,0,0,8,3,0,1,0,0,0
"HAGIWARA ELECTRIC CO., LTD.",0.012053180493154205,2100,8,0,5,0,0,0,0,5,2,0,0,0,0,0
Ampli SA w upadlosci ukladowej,0.009752203287793451,3048,10,11,4,0,0,0,0,17,0,0,1,0,0,0
"Toshin Group Co., Ltd.",0.007766276761435701,2906,12,6,0,0,0,0,0,11,0,0,4,0,0,0
Anixter International Inc.,0.00662741385974912,6884,15,41,2,0,1,0,0,13,0,0,0,0,0,0
"Howteh Technology Co., Ltd.",0.0058873035934541365,2344,9,4,3,0,0,0,0,0,0,0,0,0,0,0
TIM SA,0.005779614331319337,1907,9,6,0,0,0,0,0,4,0,0,1,0,0,0
Choo Chiang Holdings Ltd,0.0046405470904065035,3759,11,14,0,0,0,0,0,10,0,0,1,0,0,0
Communication and System Solution PCL,0.00369445349366015,2400,9,10,0,0,0,0,0,6,0,0,0,0,0,0
Elematec Corporation,0.0027186580813292195,2237,10,3,1,0,0,0,0,6,0,0,0,0,0,0
Rexel SA,0.0026587105230227275,3417,8,5,0,0,0,0,0,24,0,0,1,0,0,0
"TANAKA CO., LTD.",0.002369402168920476,3488,9,0,1,0,0,0,0,11,1,0,0,0,0,0
Daetwyler Holding AG,0.0011708052857311627,2668,8,0,1,0,0,0,0,8,0,0,0,0,0,0
Solar A/S,0.0003143401230364992,2157,9,2,0,0,0,0,0,4,0,0,0,0,0,0
