name,score,document_length,url_count,construction,defoaming agent,foam stabilizer,lims,paint additive,pressure sensitive adhesive,release agent,rubber compound,sealants,silane coupling agent,silanes,silicone,silicone fiber treatment,silicone fluid,silicone powder,silicone release coating,silicone resin,technology
Topco Technologies Corp,0.8590168804827775,4615,10,3,3,3,2,3,0,3,0,0,1,0,53,2,4,3,2,1,83
Momentive Performance Materials Inc,0.37538813512268554,7507,13,18,0,1,0,0,1,7,0,1,0,15,49,0,0,0,0,1,11
"Jiangsu Hongda New Material Co., Ltd.",0.20047754649874738,3339,8,0,0,0,0,0,0,0,10,0,0,0,75,0,0,0,0,0,9
General Silicones Co Ltd,0.17420778331010175,3534,12,0,0,0,0,0,1,0,0,0,0,0,115,0,0,0,0,0,1
HRS Co Ltd,0.16734234048865934,2479,8,0,0,0,0,0,2,0,1,0,0,0,49,0,0,0,0,1,7
Chengdu Guibao,0.132366637153236,2321,8,3,0,0,0,0,0,0,0,1,2,0,29,0,0,0,0,0,54
HEXPOL AB,0.0530693889354296,2550,8,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9
Rogers Corporation,0.03543829599411515,7095,9,2,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,58
Kumpulan Jetson Berhad,0.022281561004273615,6180,9,63,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
Polyplex (Thailand) PCL,0.015337880741585897,4660,12,4,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,2
Holland Colours NV,0.010433103405411053,2956,3,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
NEPES AMC,0.007410624022750659,2583,10,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2
Dow Chemical Co,0.00631867113496771,11485,12,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,14
E I Du Pont De Nemours And Co,0.005174141833592001,31700,17,22,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,95
Landec Corporation,0.005051350838325345,6442,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,59
Polyplex Corporation Limited,0.00503070481085958,3763,9,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4
"Carlisle Companies, Inc.",0.0035278841217927332,6927,10,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Cytec Industries Inc,0.002251439408919679,2450,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24
Sunvic Technology Co Ltd,0.0017425030552118575,3542,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40
LCY Chemical Corp,0.000948314432571202,2757,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Raven Industries, Inc.",0.0009197643809625892,3162,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
EMAS Kiara Industries Berhad,0.000902186897000331,3670,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Hexion Inc,0.0007735063948472678,2764,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Solvay SA,0.0006144882154110349,2843,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SK Chemicals Co Ltd,0.00045965699899035915,3312,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Qingdao Gon Technology Co Ltd,0.00032497403969965725,5465,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Zeon Corp,0.00019675806876955104,3330,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Guangdong Silver Age Sci& Tech Co Ltd,0.0001456221944591,2628,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
American Nano Silicon Technology Inc,0.00012923751970565596,4005,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
Himadri Chemicals & Industries Ltd.,0.00011564533723070984,4126,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Plastics Capital Plc,0.00011381167254485298,4256,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Vystar Corp,0.00011184492453324527,4881,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Nano One Materials Corp,5.504828903577101e-05,7909,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
ForceField Energy Inc,3.789902013568577e-05,4366,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
