name,score,document_length,url_count,accessories,case,casing,computer,handheld,peripheral
Ban Leong Technologies  Ltd,0.911324857751654,2176,14,42,29,1,1,0,1
PC Direct,0.3664650024623485,2822,8,21,8,0,17,1,2
Synnex (Thailand) Public Company Limited,0.09985057399687633,3412,10,6,3,0,42,0,3
Unitech Computer Co Ltd,0.08179820484534996,3127,9,0,9,0,66,4,5
IEI Integration Corp,0.07591757700624464,4968,10,0,20,0,69,6,19
Compuage Infocom Ltd,0.0712482283342016,3761,9,1,1,1,14,0,6
Petrosetco Distribution Joint Stock Co,0.04128058274098606,2422,9,0,5,0,5,3,0
ABC Data SA,0.037759530720399434,5364,13,0,1,1,16,1,5
Ingram Micro Inc.,0.01934357628774165,5037,13,0,20,0,15,0,4
Dimerco Data System Corporation,0.01927805780927517,3437,9,0,8,0,33,0,6
Dionic S.A.,0.019201072669824862,5265,10,2,3,0,17,2,0
"Gish International Co., Ltd.",0.018114810919565107,3323,13,0,8,0,14,0,6
Galaxy Far East Corp,0.016506449721520104,3123,9,0,3,0,5,1,1
VST Holdings Limited,0.01625915882029218,4965,8,0,2,0,16,5,0
Xander International Corp.,0.016093447550447223,3429,13,0,8,0,23,0,4
Siltrontech Electronics Corporation,0.015522665630828894,4500,8,0,9,0,18,0,5
Koryo Electronics Co Ltd,0.014869514138499533,3640,9,0,8,0,9,0,5
MacroWell OMG Digital Entertain Co Ltd,0.013338165439033791,3129,11,0,8,0,3,0,3
Congatec Holding AG - ADR,0.012441745459038575,69502,10,0,115,0,49,1,7
VOXX International Corp,0.012077153022463854,4172,9,1,3,0,4,0,0
Tatung System Technologies Inc.,0.011274165120477854,7684,13,0,5,0,40,1,6
Leo Systems Inc,0.011208044542133696,4050,11,0,12,0,10,0,2
Power Quotient International Co Ltd,0.009645056666049244,3268,13,0,0,0,7,0,13
GrandTech C.G. Systems Inc.,0.008987919821878045,2423,8,0,8,0,8,0,0
Weikeng Industrial Co. Ltd,0.00867102686169593,2321,8,0,1,0,11,0,5
Honey Hope Honesty Enterprise Co Ltd,0.008573737126331752,5205,12,0,9,0,12,0,3
"SED International Holdings, Inc.",0.008416903798653678,8221,7,0,8,0,26,0,7
Genuine C&C Inc,0.007982320524125869,3170,12,0,2,0,17,0,6
Thiz Technology Group Ltd.,0.0075932954097886335,2146,6,0,2,0,23,0,7
Powermatic Data Systems Ltd.,0.0072394416454643505,2148,7,0,0,0,13,0,7
Bestcom Infotech Corp,0.007109743770787687,2634,8,0,0,0,32,0,8
JC Hyun Systems Inc,0.006972808477390974,5325,12,0,1,0,20,1,6
Fortune Information Systems Corp,0.006566921382695916,3583,9,0,0,0,32,0,9
Sentronic International Corp,0.006270347284278044,4186,9,0,8,0,25,0,2
Hyper Inc,0.006135311011458285,4903,17,0,7,0,15,0,2
Stark Technology Inc,0.0055765875777368384,2425,13,0,1,0,8,0,3
Automated Systems Holdings Limited,0.005572204158906859,4825,14,0,4,0,18,0,3
NTT System SA,0.00533600743854346,5947,18,0,1,0,34,0,9
Metrodata Electronics Tbk PT,0.005091431264777285,3005,8,0,0,0,8,0,6
Synnex Technology International Corp,0.004979446988496704,2521,9,0,0,0,26,0,5
SUNNIC Technology & Merchandise Inc.,0.00496739828064612,3519,9,0,8,0,1,0,0
Shanghai Jiaoda Withub Info. Indust. Co,0.004913743480944643,4420,8,1,0,0,21,0,0
Softcen Co Ltd,0.004816908303828899,2893,12,0,1,0,5,0,3
Logicom Public Ltd,0.004273006278055096,3692,10,0,1,0,15,0,4
Ryoyo Electro Corp,0.004235837038885827,4624,10,0,1,0,8,0,5
Indeks Bilgisayar Sistemleri Muhendislik,0.003189195447420427,3257,9,0,0,0,11,0,4
Sesa SpA,0.003031775891063953,4883,9,0,6,0,16,0,0
PCS Technology Ltd,0.002756424971121151,5812,12,0,1,0,24,0,3
Disway SA,0.0026671402203201945,6003,14,0,3,0,20,0,1
Arena Bilgisayar Sanayi ve Ticaret AS,0.0025115937809793354,2972,6,0,0,0,12,0,3
SVOA PCL,0.002261553009927033,3853,12,0,0,0,25,0,3
Bliss Tel PCL,0.0021756428398184615,1930,7,0,4,0,0,0,0
Aeria Inc.,0.0020562148490357746,3271,9,0,6,0,0,0,0
Daiwabo Holdings Co Ltd,0.0019623249252422085,4371,10,0,0,0,7,0,3
S.A.S. Dragon Holdings Limited,0.0019366062203266623,4342,8,0,0,0,9,0,3
Promate Electronic Co Ltd,0.001905164513378063,3282,10,0,1,0,12,0,2
KUEN CHAANG UPPERTECH CORP.,0.0018924390774647758,5021,7,0,2,0,2,0,5
"Gohigh Data Networks Technology Co., Ltd",0.0016316988256413452,3229,9,0,1,0,3,0,2
Hacisco JSC,0.001510664510973691,3695,9,0,1,0,4,0,2
Armada Blgsyr Stmlr Sny ve Tcrt AS,0.0014019191234689414,4930,9,0,1,0,18,0,2
Korea Information Engineering Services,0.0013324221114782385,1465,6,0,0,0,12,0,2
Datagate Bilgisayar Malzemeleri Ticrt AS,0.0011979329172386703,1765,9,0,0,0,6,0,1
"Supreme Electronics Co., Ltd.",0.0011727510603296634,2436,7,0,0,0,7,0,2
Action SA,0.0011004965019622297,1777,6,0,0,0,11,0,1
SiS International Holdings Limited,0.0010975271453014508,4436,13,0,2,0,10,0,1
Edom Technology Co Ltd,0.0010429958817512904,2558,6,0,0,0,6,0,2
CCN TECH PCL,0.0010230202498778495,2506,6,0,0,0,15,0,1
Ferrum PCL,0.0010015604193735392,2284,8,0,1,0,5,0,0
SEIRYO ELECTRIC CORPORATION,0.0009511417996035134,2927,9,0,0,0,8,0,2
Professional Computer Technology Ltd,0.0009104998196925981,2182,9,0,1,0,50,0,0
Computer Warehouse Group PLC,0.0007469449587962515,3533,8,0,2,0,76,0,0
Interlink Communication (Thailand) PCL,0.0007293011511911084,2826,12,0,1,0,8,0,0
SAMT Co Ltd,0.0006148540900266021,3540,9,0,0,0,5,0,1
Daouincube Inc,0.0006111146345332041,3830,11,0,1,0,8,0,0
Surge Components Inc,0.0005981092413500581,2915,12,0,1,0,8,0,0
Zheda Lande Scitech Limited,0.0005297710550800342,3429,6,0,1,0,6,0,0
Simat Technologies PCL,0.0005182742388548392,4123,12,0,1,0,19,0,0
China Netcom Technology Holdings Ltd,0.0005126233350546617,4494,9,0,1,0,10,0,0
Tokyo Electron Device Ltd,0.0004728744532512741,4754,11,0,0,0,6,0,1
Mobicon Group Limited,0.00042579878145977365,4635,12,0,0,0,31,0,1
PS IT Infrastructure & Services Ltd,0.0004226651445490728,7365,10,0,2,0,8,0,0
Anar Industries Ltd,0.00034146070948914243,6204,9,0,1,0,3,0,0
GENESIS ENERGY SA,0.0002657602020068022,2742,7,0,1,0,0,0,0
Alpha Energy Holdings Ltd,0.0002562842204377485,2492,7,0,0,0,2,0,1
"Shanghai East-China Computer Co., Ltd.",5.541902311817564e-05,3084,9,0,0,0,57,0,0
Jiangsu Nandasoft Technology Co Ltd,1.8797605875003437e-05,3435,9,0,0,0,24,0,0
"Applied Visual Sciences, Inc.",1.515706674474048e-05,2216,8,0,0,0,12,0,0
Premier Technology PCL,1.1362298490772147e-05,3728,8,0,0,0,16,0,0
Dicker Data Ltd,9.31564069964118e-06,2894,9,0,0,0,10,0,0
"Answer Technology Co., Ltd.",7.998305367439816e-06,3590,13,0,0,0,8,0,0
SUTL Enterprise Ltd,7.710859301512964e-06,3038,13,0,0,0,8,0,0
Kingpak Technology Inc,7.5188516155376445e-06,2363,9,0,0,0,7,0,0
"Medifron DBT Co., Ltd.",7.081739889911219e-06,3917,12,0,0,0,8,0,0
Ideiasnet SA,6.8747596610531944e-06,1955,6,0,0,0,5,0,0
"Hunan Copote Science & Tech Co., Ltd.",6.772905327243818e-06,3859,8,0,0,0,8,0,0
MARUBUN CORPORATION,6.4397441576444425e-06,2192,7,0,0,0,5,0,0
Pearl Electronics Ltd,6.093846164281843e-06,2040,4,0,0,0,5,0,0
Sterling Webnet Ltd,4.13622717189413e-06,4995,9,0,0,0,6,0,0
TAIWAN OSTOR CORP.,4.1007282478458565e-06,2418,10,0,0,0,3,0,0
Erajaya Swasembada Tbk PT,3.6138274490074585e-06,2957,8,0,0,0,4,0,0
Esprinet SpA,3.174281906438199e-06,4994,10,0,0,0,5,0,0
"Trust-Search Corp.,Ltd.",2.968743403124321e-06,4289,9,0,0,0,5,0,0
Digiworld Corp,2.911786360686229e-06,3746,9,0,0,0,3,0,0
"Wayside Technology Group, Inc.",1.8336520687645115e-06,3354,9,0,0,0,3,0,0
Uniquest Corporation,7.551291288362481e-07,2155,10,0,0,0,1,0,0
WPG Holdings Limited,7.380546193511008e-07,1784,9,0,0,0,1,0,0
Yunbo Digital Synergy Group Ltd,6.235608392976786e-07,2537,7,0,0,0,1,0,0
Centro HL Distribuzione SpA,5.585353109091927e-07,2404,7,0,0,0,1,0,0
