name,score,document_length,url_count,button,chemical fiber,cloth,fabric,knitted fabric,nylon,polyester,pu,pvc,textile
Modern Sewing Co,0.617793335199812,9179,10,39,0,9,29,0,0,1,68,0,2
Bombay Rayon Fashions Limited,0.6093704045393147,4369,6,8,0,14,52,2,0,3,20,0,27
Yongsheng Advanced Materials Co Ltd,0.37165582903246186,2274,8,0,1,0,3,0,0,16,20,0,21
Taroko Textile Corporation,0.19695806454572753,3450,9,0,0,1,6,1,2,4,35,0,65
PCCS Group Berhad,0.19224267632422837,4022,8,0,0,3,4,4,0,0,26,0,11
DAIDOH LIMITED,0.10904684280196668,2210,9,0,0,25,14,0,0,0,11,1,9
Textile Garment Impt Expt and Prdctn JSC,0.10212682954532237,4833,8,0,0,72,8,0,1,4,23,0,87
Ever-Glory International Group Inc,0.048768708393219846,5179,10,2,0,6,7,0,0,0,30,0,2
"Zhejiang Orient Holdings Co., Ltd",0.04836453539125046,3224,7,0,0,6,4,0,1,1,25,0,13
Aaswa Trading And Exports Ltd,0.0330024889221056,4296,9,1,0,0,4,0,0,0,19,0,6
Sunrise Asian Ltd,0.03261365232913961,4660,8,1,0,0,2,0,0,1,14,0,21
"Jiangsu Guotai Intl Grp Guomao Co., Ltd.",0.024488830099835185,3216,9,0,0,2,2,0,1,1,25,0,11
Newcity (Bangkok) Public Company Limited,0.024340048790738953,5780,8,0,0,19,0,0,0,0,179,1,6
Confectii Vaslui SA,0.023304505986725413,3343,9,0,0,31,13,0,0,0,26,0,3
Jackson Investments Ltd,0.021677202045441192,8380,13,1,0,1,8,0,0,0,110,0,15
Leeds Group plc,0.019149816255883655,2704,8,0,0,14,13,0,0,0,11,0,12
Vinatex Danang JSC,0.01633530066695557,4906,10,0,0,5,1,0,0,2,24,0,52
SANYO SHOKAI LTD.,0.014693496976568085,4028,14,0,0,23,0,0,0,1,21,0,5
Standard Industries Limited,0.014000333632580627,5800,9,0,0,2,4,0,0,2,95,0,12
"Jiangsu Sanyou Group Co., Ltd.",0.011352516499445273,1793,5,0,0,27,0,0,0,0,6,0,3
Prochnik SA,0.010274994455192173,4185,10,0,0,22,3,0,0,0,25,0,1
"YAGI & CO., LTD.",0.010048483886509309,1027,9,0,0,0,8,0,0,0,8,0,37
"Shanghai Shenda Co., Ltd",0.008420100943466123,3363,9,0,0,1,12,0,0,0,26,0,61
Varteks d.d.,0.007727411561895698,2028,6,0,0,9,3,0,0,0,13,0,5
"KING Co., Ltd.",0.006431476545218748,2995,7,0,0,5,5,0,0,0,24,0,8
GSI Creos Corporation,0.00562431866781399,2621,9,0,0,3,4,0,0,0,9,0,30
Marumitsu Co Ltd,0.004629913198436368,2931,9,0,0,19,0,0,0,0,21,0,0
Quasar India Ltd,0.004523448130228407,5515,10,0,0,0,13,0,0,0,94,0,8
Wacoal Holdings Corporation (ADR),0.0037604175673170907,34227,9,0,0,8,4,0,1,0,258,0,27
WACOAL HOLDINGS CORP.,0.003673176627373833,33708,6,0,0,6,4,0,1,0,260,0,28
Adolfo Dominguez SA,0.00355030003598354,5217,9,0,0,27,0,0,0,0,44,0,2
"Shandong Hiking International Co., Ltd.",0.003538006851927788,3338,10,0,0,3,3,0,0,0,15,0,13
"NJ Textiles Import & Export Corp.,Ltd.",0.0033139864925162588,4803,9,0,0,2,5,0,0,0,26,0,94
"Takihyo Co., Ltd.",0.003182859559341045,3854,10,0,0,7,2,0,0,0,17,0,25
"Orient International Enterprise, Ltd.",0.00271651311471379,3485,10,0,0,1,4,0,0,0,22,0,20
Hatzioannou Holdings S.A.,0.002175854244804212,5936,10,0,0,7,4,0,0,0,43,0,6
"SANKYO SEIKO CO., LTD",0.0020145684884943405,3488,13,0,0,3,1,0,0,0,20,0,19
Tan Mai General Wood JSC,0.0015172212479599484,3219,10,0,0,0,4,0,0,0,16,0,1
Renown Inc,0.001303092944140146,3764,12,0,0,4,2,0,0,0,19,0,0
Luen Thai Holdings Ltd,0.0012518276754406225,3055,9,0,0,3,0,0,0,0,16,0,16
Makoteks AD Skopje,0.0009801400435693595,2491,8,0,0,1,1,0,0,0,22,0,9
Gala Global Inc,0.0008039829988674895,6686,9,0,0,4,0,0,0,0,58,0,3
Atsugi Co Ltd,0.0007958436709158177,2161,7,0,0,2,0,0,0,0,24,0,7
Dagi Giyim Sanayi ve Ticaret AS,0.0005141152090908985,2563,13,0,0,0,1,0,0,0,8,0,6
Sinar OAO (P),0.00039798864065897194,1028714,9,2,1,11,13,0,1,0,3799,0,11
Tristate Holdings Limited,0.00027473049372846116,3042,7,0,0,2,0,0,0,0,23,0,2
Shanghai Lansheng Corporation,6.695647001691035e-05,2354,8,0,0,0,0,0,0,0,11,0,3
Armeyski Holding AD Sofia,8.5274425748234e-06,2972,9,0,0,0,0,0,0,0,13,0,0
