103_吉迪凱_電子零組件_進銷貨(GTK UK),Promate Electronic Co Ltd
103_太克_工業儀器_進貨(Tektronix),Euro Tech Holdings Co. Ltd.
亞提爾_連接器_進銷貨(ATL TECHNOLOGY),Yleiselektroniikka Oyj
亞薩合萊_五金零件_進貨(ASSA ABLOY),Ace Hardware Indonesia Tbk PT
信越_矽利光_製造(Shin-Etsu Silicone),Momentive Performance Materials Inc
健誠_汽車_進貨(sincere international mass transportation vehicle ltd),"Yangzhou Yaxing Motor Coach Co.,Ltd"
優美科薄膜_金屬原料_進貨(Umicore),ALCONIX CORPORATION
其立_五金零件_進貨(Ju Teng International Holding),PC Direct
南僑_化學工業_銷貨_皇家可口冰部門(namchow),Vadilal Industries Ltd
台灣道達爾_製造_潤滑油(Total Lubricants),Castrol India Limited
台灣道達爾_銷售_潤滑油(Total Lubricants),Castrol India Limited
和記環球_電訊_租賃(Hutchison Global Communications Limited),First Media Tbk PT
"安達富_通信_服務(DEKRA Testing and Certification Co., Ltd)",Nice-Systems Ltd
富樂_黏著劑_銷貨(H.B.Fuller Company),Prymus SA
帝仕德_威士忌_進貨(Distell),C&C Group Plc
"建錩_不銹鋼_製造(Chain Chon Industrial Co., Ltd.)",Chain Chon Industrial Co Ltd
"建錩_不銹鋼_銷售(Chain Chon Industrial Co., Ltd.)",Scope Metals Group Ltd
彩諲_紡織_進銷貨(TSAI INN ENTERPRISE LTD.),Momai Apparels Ltd
志聖_工業零件_進貨(CSUN MFG. LTD.),NICHING INDUSTRIAL CORPORATION
志聖_工業零件_銷貨(CSUN MFG. LTD.),C SUN MFG. LTD.
怡科_電子_進貨(ECO Technologies Com. Ltd.),Atech OEM Inc
"新思_軟體_技術支援服務(Synopsys, Inc.)",Beijing ZXT Sftwre Scince & Tchly Co Ltd
智晶_光電_進貨(WiseChip Semiconductor Inc.),Japan Display Inc
朝日_租車_租賃,"ICHINEN HOLDINGS CO., LTD."
"村上_電子零組件_進貨(MURAKAMI CO., LTD.)",Newflex Technology Co. Ltd.
"柏恩氏_電子元件_製造(Bourns, Inc.)",AVX Corporation
瀚昌_布料_銷貨,Modern Sewing Co
矽成_電子_進銷貨(ISSI),"GSI Technology, Inc."
祥茂_光電_進銷貨(AOI),Finisar Corporation
福達_電子_服務(FormFactor Inc.),Cube System Inc
聯進_食品_進貨(King Car Froup),Jammin Java Corp
艾薩_行銷_服務(LSI Asia Pacific Inc.),"MOSHI MOSHI HOTLINE, INC."
華儀_電子_銷貨_非自有品牌(EEC Group),"Teradyne, Inc."
華展_科儀_銷貨,Laird PLC
蘇晶_半導體_進貨(SEMC),"ThinTech Materials Technology Co., Ltd."
"見誠_自行車零件_進貨(ACETRIKES IND. CO., LTD.)",Vietnam Manufacturing and Export Limited
超眾_導熱版_銷售(Chaun Choung Technology Corp.),Asia Vital Components Co Ltd
"雙鶴_健康食品_生產(Double Crane Enterprise Co., Ltd.)",Real Nutriceutical Group Ltd
飛碼科技_測試顧問_服務(FIME),SOCIETE MAGHREBINE DE MONTIQUE
